jdshipin,#genre#
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe
劲爆体育,http://php.jdshipin.com/itv6s.php?cid=hnbblive&id=2000000002000000008
爱体育,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000290630
快乐垂钓,http://php.jdshipin.com/itv6.php?cid=bestzb&id=5000000011000031206
爱动漫,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000280630
黑莓动画,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010002
游戏风云,http://php.jdshipin.com/itv6.php?cid=bestzb&id=5000000011000031114
爱电竞,http://php.jdshipin.com:8880/itv6s.php?cid=wasusyt&id=6000000006000230630
西藏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225638
广东珠江,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010091
湖南经视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnjs
湖南都市,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnds
湖南娱乐,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnyl
湖南电视剧,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndsj
湖南电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndy
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3&token=512df05ba47edb46400575c93e179adb7981226d414516400ed1d382cb126adc517715d4ccd3a2276bf3c7b72d52f58905225cf0b1cc461b7888443f
2025-05-21 06:17:06,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-4,http://php.jdshipin.com:8880/bst2.php?id=cctv4k/15000000
CCTV-16,http://php.jdshipin.com:8880/bst2.php?id=cctv16hd4k/15000000
广东体育,http://php.jdshipin.com:8880/chudian.php?id=gdty
广东民生,http://php.jdshipin.com:8880/chudian.php?id=gdms
湖南教育,http://php.jdshipin.com:8880/iptv.php?id=hnjy
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn###HLS\\n
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB娱乐新闻台,http://php.jdshipin.com:8880/smt.php?id=Tvbentertainment
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe###HLS\\n
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
TVB星河,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
广东卫视,http://php.jdshipin.com:8880/chudian.php?id=gdws
